ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs
98,Lait Amande calcium,"Bio Village, Marque Repère",3564707117203,Boisson lactée,106.0,26.0,0.2,0.5,40.0,0.1,0.7,0.5,0,2,B,84.0,A,OUI,0,
99,Evian 75cl PET,Evian,3068320014067,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
100,Eau minérale,Volvic,3057640265358,Eau,0.0,0.0,0.0,0.0,12.0,0.03,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
101,Orangina,Orangina,3124480184320,Soda,173.0,41.0,0.0,9.6,4.0,0.01,0.1,0.0,0,9,D,,NOT-APPLICABLE,NON,0,
102,Club-Mate Original,"Club Mate,Loscher",4029764001807,Autre boisson,84.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,2,"e290, e330"
103,Mandel Vanille Geschmack,Alpro,5411188120742,Boisson lactée,126.0,30.0,0.1,3.8,56.0,0.14,0.4,1.3,0,5,C,69.0,B,NON,3,"e322, e410, e418"
104,High Protein Soja Drink,"Alpro, DANONE AS",5411188130031,Boisson lactée,239.0,57.0,0.5,2.5,40.0,0.1,5.0,0.9,0,-1,B,78.0,A,NON,2,"e340, e418"
105,Eau minérale Ifri,Ifri,6130093010045,Eau,0.0,0.0,0.0,0.0,1.6,0.004,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
106,Jafaden,"Marque Repère, Jafaden",3564700494493,Jus de fruits,184.0,43.0,0.1,9.7,4.0,0.01,0.6,0.5,0,5,C,48.0,C,NON,0,
107,Boisson au soja nature bio,"Bio Village, Marque Repère",3564707095723,Boisson lactée,154.0,37.0,0.4,0.7,4.0,0.01,3.7,0.7,0,-3,B,102.0,A-PLUS,OUI,0,
108,"Coca-Cola Zero 1,25 Liter","Coca-Cola,Coca-Cola Company",5000112576009,Soda,0.9,0.2,0.0,0.0,8.0,0.02,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,7,"e150d, e290, e331, e338, e950, e951, e960c"
109,Bebida de Avena,Yosoy,8423352100143,Autre boisson,198.0,47.0,0.1,4.8,12.0,0.03,1.6,0.7,0,4,C,63.0,B,NON,0,
110,"Kokosnussdrink mit Soja, Barista",alpro,5411188119753,Boisson lactée,139.0,33.0,0.7,3.3,40.0,0.1,1.5,0.2,0,3,C,87.0,A,NON,4,"e170, e170i, e340, e418"
111,Amande Sans sucres,"Carrefour BIO, Carrefour",3560071014094,Boisson lactée,106.0,26.0,0.2,0.5,40.0,0.1,0.7,0.5,0,2,B,89.0,A,OUI,0,
112,Thé glacé pêche intense,"COCA-COLA, FuzeTea",5449000295750,Thé,79.0,19.0,0.0,4.4,12.0,0.03,0.0,0.0,0,8,D,58.0,C,NON,5,"e296, e300, e330, e331, e960a"
113,Yeo Valley Organic Kefir Strawberry Fermented Yoghurt,Yeo Valley,5036589254270,Boisson lactée,331.0,79.0,1.3,9.5,44.0,0.11,4.2,0.1,0,10,E,44.0,D,OUI,0,
114,Nestlé Pure Life,Nestlé,3700123300380,Eau,0.0,0.0,0.0,0.0,2.0,0.005,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
115,Le Bio Orange,Pressade,3254691586085,Jus de fruits,144.0,34.0,0.0,8.2,0.0,0.0,0.5,0.5,0,5,C,111.0,A-PLUS,OUI,0,
116,Tropicana Multivitamines 1 L,Tropicana,3502110003201,Jus de fruits,204.0,48.0,0.0,10.7,0.0,0.0,0.0,0.0,0,12,E,31.0,D,NON,0,
117,Tropicana 100% oranges pressées avec pulpe 1 L,Tropicana,3502110009401,Jus de fruits,179.0,42.0,0.0,8.6,0.0,0.0,0.8,0.8,0,4,C,48.0,C,NON,0,
118,Boisson avoine,"Bio Village, Marque Repère",3564707105675,Boisson lactée,173.0,49.0,0.2,5.0,39.0,0.098,0.5,0.8,0,6,C,83.0,A,OUI,0,
119,Besbassa,Sarl diar ezarga,6134082000017,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,2,"e164, e180"
120,Coca-Cola Zero,Coca-Cola,5449000133724,Soda,1.3,0.3,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,4,"e150d, e950, e951, e952"
121,Apa,Aqua Carpatica,59493518,Eau,0.0,0.0,0.0,0.0,0.7,0.002,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
122,AMINE,FAMI,6111035503191,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
123,Coca-Cola Zero Sugar 25cl,Coca-Cola,5449000020987,Soda,1.3,0.3,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e331, e338, e950, e951, e960c"
124,"Alpro® Barista Mandeldrink, 1 L, UHT",Alpro,5411188129899,Autre boisson,99.0,24.0,0.1,2.5,32.0,0.08,0.5,0.3,0,4,C,63.0,B,NON,5,"e170, e170i, e340, e412, e418"
125,Limonata,"Nestlé, San Pellegrino",8002270936777,Soda,147.0,35.0,0.0,8.0,0.0,0.0,0.1,0.1,0,8,D,,NOT-APPLICABLE,NON,1,e290
126,Eau minérale naturelle,Vittel,3179732333919,Eau,0.0,0.0,0.0,0.0,0.5,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
127,SOJA Sans sucres ajoutés**,"Carrefour BIO, Carrefour, Groupe Carrefour",3270190128717,Boisson lactée,171.0,41.0,0.4,0.7,4.0,0.01,3.8,0.6,0,-3,B,89.0,A,OUI,0,
128,Zumo pura naranja,Hacendado,8480000390103,Autre boisson,184.0,44.0,0.0,9.3,0.0,0.0,0.7,0.6,0,7,D,54.0,C,NON,0,
129,Smoozy,Albane,6111250010207,Boisson lactée,352.0,84.0,1.3,9.2,40.0,0.1,2.2,0.0,0,13,E,17.0,E,NON,1,e330
130,Orangina zéro,Orangina,3124480185020,Soda,19.0,4.0,0.0,0.5,8.0,0.02,0.1,0.0,0,4,C,,NOT-APPLICABLE,NON,3,"e202, e950, e955"
131,"Not Milk 1,8",Alpro,5411188135005,Boisson lactée,182.0,44.0,0.3,0.0,44.0,0.11,0.7,1.0,0,3,C,61.0,B,NON,3,"e322, e340, e418"
132,"Apă minerală naturală, natural carbogazoasă",Borsec,5942219115845,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
133,Original COCA-COLA,Coca cola,3174780000363,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,1,e150d
134,Pur jus de citron,"Jardin bio, Léa Nature",3456300002492,Jus de fruits,133.0,31.0,0.2,1.7,4.0,0.01,0.0,0.0,0,-3,B,53.0,C,OUI,0,
135,"Alpro Sojadrink Original fresh mit Calcium, 1 L, 11",Alpro,5411188091912,Boisson lactée,162.0,39.0,0.3,2.5,32.0,0.08,3.0,0.5,0,-1,B,73.0,B,NON,4,"e170, e170i, e340, e418"
